# OrderP Phi
-60.000000 -inf
-57.550000 -inf
-55.100000 -inf
-52.650000 -inf
-50.200000 -inf
-47.750000 -inf
-45.300000 -inf
-42.850000 -inf
-40.400000 -inf
-37.950000 -inf
-35.500000 -inf
-33.050000 -203.228495
-30.600000 -inf
-28.150000 -199.549815
-25.700000 -193.031281
-23.250000 -189.412862
-20.800000 -186.674022
-18.350000 -182.871805
-15.900000 -179.547056
-13.450000 -176.287453
-11.000000 -173.043487
-8.550000 -169.753757
-6.100000 -166.484639
-3.650000 -163.422434
-1.200000 -160.218728
1.250000 -157.133355
3.700000 -154.087325
6.150000 -151.181984
8.600000 -148.082427
11.050000 -145.233455
13.500000 -142.497961
15.950000 -139.625329
18.400000 -136.973719
20.850000 -133.951747
23.300000 -131.388219
25.750000 -128.640665
28.200000 -126.127937
30.650000 -123.446670
33.100000 -120.933681
35.550000 -118.430556
38.000000 -115.898444
40.450000 -113.674816
42.900000 -111.113079
45.350000 -108.737413
47.800000 -106.533160
50.250000 -104.167915
52.700000 -101.803033
55.150000 -99.495810
57.600000 -97.526715
60.050000 -95.372767
62.500000 -93.199062
64.950000 -91.166106
67.400000 -89.063334
69.850000 -87.017902
72.300000 -85.071280
74.750000 -83.069866
77.200000 -80.989385
79.650000 -79.209718
82.100000 -77.260613
84.550000 -75.462722
87.000000 -73.818246
89.450000 -71.748051
91.900000 -69.985944
94.350000 -67.996007
96.800000 -66.404193
99.250000 -64.654795
101.700000 -63.256822
104.150000 -61.457327
106.600000 -59.804538
109.050000 -58.216566
111.500000 -56.569177
113.950000 -55.083060
116.400000 -53.554854
118.850000 -52.021549
121.300000 -50.446597
123.750000 -48.943613
126.200000 -47.529822
128.650000 -46.025294
131.100000 -44.699494
133.550000 -43.272790
136.000000 -41.824319
138.450000 -40.554007
140.900000 -39.258260
143.350000 -37.888125
145.800000 -36.637851
148.250000 -35.229645
150.700000 -34.106761
153.150000 -32.938846
155.600000 -31.817003
158.050000 -30.532983
160.500000 -29.448253
162.950000 -28.449390
165.400000 -27.270046
167.850000 -26.129611
170.300000 -25.167077
172.750000 -24.128439
175.200000 -23.087412
177.650000 -22.200803
180.100000 -21.166682
182.550000 -20.238083
185.000000 -19.126565
187.450000 -18.328205
189.900000 -17.524340
192.350000 -16.632334
194.800000 -15.867731
197.250000 -15.076037
199.700000 -14.094291
202.150000 -13.463028
204.600000 -12.747209
207.050000 -12.049080
209.500000 -11.202938
211.950000 -10.512329
214.400000 -9.733065
216.850000 -9.206036
219.300000 -8.692259
221.750000 -7.937019
224.200000 -7.457777
226.650000 -6.855053
229.100000 -6.331256
231.550000 -5.847774
234.000000 -5.353160
236.450000 -4.979818
238.900000 -4.413213
241.350000 -4.051137
243.800000 -3.630684
246.250000 -3.240505
248.700000 -2.877912
251.150000 -2.533254
253.600000 -2.193215
256.050000 -1.851125
258.500000 -1.734460
260.950000 -1.405655
263.400000 -1.169305
265.850000 -1.038228
268.300000 -0.787120
270.750000 -0.665685
273.200000 -0.351840
275.650000 -0.597684
278.100000 -0.310209
280.550000 -0.151748
283.000000 -0.113312
285.450000 -0.119137
287.900000 0.000000
290.350000 -0.121821
292.800000 -0.300596
295.250000 -0.291467
297.700000 -0.289044
300.150000 -0.415177
302.600000 -0.741653
305.050000 -0.691535
307.500000 -1.089284
309.950000 -1.158047
312.400000 -1.359664
314.850000 -1.675758
317.300000 -1.913771
319.750000 -2.141221
322.200000 -2.577649
324.650000 -2.941020
327.100000 -3.235523
329.550000 -3.648162
332.000000 -4.037801
334.450000 -4.429740
336.900000 -4.854105
339.350000 -5.421724
341.800000 -5.974853
344.250000 -6.474951
346.700000 -6.879447
349.150000 -7.394983
351.600000 -7.985973
354.050000 -8.706617
356.500000 -9.219980
358.950000 -10.084678
361.400000 -10.601755
363.850000 -11.213489
366.300000 -11.959210
368.750000 -12.858584
371.200000 -13.623293
373.650000 -14.417175
376.100000 -15.262586
378.550000 -15.791687
381.000000 -16.527849
383.450000 -17.754579
385.900000 -18.111556
388.350000 -19.980374
390.800000 -21.156948
393.250000 -20.569935
395.700000 -inf
398.150000 -inf
400.600000 -inf
403.050000 -inf
405.500000 -inf
407.950000 -inf
410.400000 -inf
412.850000 -inf
415.300000 -inf
417.750000 -inf
420.200000 -inf
422.650000 -inf
425.100000 -inf
427.550000 -inf
